                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99193,                 1.8566,                  1.192,                0.77988,                0.52889,                0.69546,                0.43684,                 1.1591,                   2.14,                 1.2653,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.0399,                 1.2949,                 1.2358,                0.76529,                0.59111,                0.69457,                0.46452,                 1.1424,                 1.8173,                 1.2933,             0.00077941,             0.00077941,             0.00077941
                      3,                 1.0699,                 1.2343,                  1.229,                 0.3604,                0.30053,                0.23428,                 0.1114,                  1.784,                 2.4888,                 1.7826,              0.0011172,              0.0011172,              0.0011172
                      4,                 1.1135,                 1.2471,                 1.2485,                0.57209,                0.44889,                0.52428,                0.29738,                 1.4516,                  1.994,                 1.5742,              0.0014135,              0.0014135,              0.0014135
                      5,                 1.0947,                 1.2209,                  1.264,                 0.6056,                0.58222,                0.61223,                0.34656,                 1.4576,                 1.9228,                 1.5664,               0.001604,               0.001604,               0.001604
                      6,                 1.1992,                 1.2317,                 1.3305,                0.70467,                0.56206,                0.63876,                0.36743,                 1.3037,                 2.1038,                 1.5125,               0.001505,               0.001505,               0.001505
                      7,                 1.1339,                 1.2037,                 1.2884,                 0.7634,                0.69778,                0.79243,                0.51866,                 1.1305,                 1.5187,                 1.3826,               0.001406,               0.001406,               0.001406
                      8,                 1.0854,                 1.1654,                 1.2721,                0.70275,                0.76444,                0.78094,                 0.5166,                 1.0798,                 1.4126,                 1.3372,               0.001307,               0.001307,               0.001307
                      9,                 1.0674,                 1.0693,                 1.2419,                0.84852,                0.76444,                0.82775,                0.53927,                 1.1021,                 1.3083,                 1.3303,               0.001208,               0.001208,               0.001208
                     10,                 1.0386,                 1.0679,                 1.2232,                 0.8472,                0.69778,                0.80925,                0.52744,                 1.1481,                 1.3365,                 1.3233,               0.001109,               0.001109,               0.001109
                     11,                0.98437,                 1.1541,                 1.1952,                 0.7462,                0.70667,                0.77335,                0.51717,                 1.0835,                 1.4426,                 1.3143,                0.00101,                0.00101,                0.00101
                     12,                0.93092,                 1.0631,                 1.1619,                 0.7752,                0.72444,                0.77762,                0.50784,                  1.133,                 1.3528,                 1.3579,               0.000911,               0.000911,               0.000911
                     13,                0.91707,                0.99701,                 1.1466,                0.80968,                   0.72,                0.78729,                  0.541,                 1.0851,                 1.2013,                 1.3114,               0.000812,               0.000812,               0.000812
                     14,                0.87119,                0.96606,                 1.1421,                 0.8262,                0.78175,                0.86365,                0.60864,                0.91425,                 1.0008,                 1.1822,               0.000713,               0.000713,               0.000713
                     15,                0.85502,                 0.9223,                 1.1175,                0.82481,                0.78222,                0.85589,                0.60756,                0.97032,                 1.0028,                 1.2099,               0.000614,               0.000614,               0.000614
                     16,                0.81945,                0.88339,                 1.1124,                0.82911,                0.81941,                0.88123,                0.62518,                0.93959,                0.97878,                 1.2152,               0.000515,               0.000515,               0.000515
                     17,                0.80859,                0.82479,                  1.082,                0.84101,                0.79934,                0.85162,                0.62547,                0.91202,                0.96315,                 1.1787,               0.000416,               0.000416,               0.000416
                     18,                0.74597,                0.77753,                 1.0653,                0.81513,                0.82307,                0.87861,                0.65968,                0.82993,                0.89225,                 1.1361,               0.000317,               0.000317,               0.000317
                     19,                0.74325,                0.75264,                 1.0517,                 0.8516,                0.79556,                0.88008,                0.66603,                 0.8341,                0.88657,                 1.1421,               0.000218,               0.000218,               0.000218
                     20,                0.71404,                0.73954,                 1.0325,                0.84641,                0.80824,                0.88352,                0.67558,                0.82215,                0.83383,                 1.1289,               0.000119,               0.000119,               0.000119
